Watercourse,Site Code,Ordinance Survey Grid Reference,Easting,Northing,Date,Electrofishing Type
Allt Deveron,A3,NJ382226,338200,822600,7/7/2023,Quantitative (1mm)
Back Burn,Ba0,NJ372244,337298,824444,7/7/2023,Timed
Back Burn,Ba1,NJ380249,338055,824905,7/7/2023,Timed
Black Water,BW0,NJ327234,332753,823406,7/7/2023,Quantitative (1mm)
Black Water,BW4,NJ328260,332834,826029,6/7/2023,Timed
Allt na Craoibhe-caorainn,Cn0,NJ315253,331537,825331,6/7/2023,Timed
Allt na Craoibhe-caorainn,Cn2,NJ324258,332418,825846,7/7/2023,Timed
Allt na Craoibhe-cuilinn,CU1,NJ322245,332296,824569,6/7/2023,Timed
Gauch Burn,GC0,NJ354246,335419,824694,7/7/2023,Timed
Gauch Burn,GC1,NJ364248,336445,824808,6/7/2023,Quantitative (1mm)
Gauch Burn,GC,NJ348249,334844,824939,6/7/2023,Timed
Gauch Burn,GCa,NJ348249,334842,824958,7/7/2023,Timed
Keirn Burn,Kei1,NJ364247,336421,824724,7/7/2023,Timed
Kindy Burn,KY2,NJ393231,339318,823129,7/7/2023,Timed
